search_keyword,jobName,custName,coIndustryDesc,jobRole,salaryLow,salaryHigh,salaryType,jobAddrNoDesc,jobAddress,remoteWorkType,optionEdu,periodDesc,major,applyCnt,appearDate,description,jobLink
行銷,【電商品牌】可年後到職│行銷人員、行銷企劃 │內有透明薪資及發展結構,翻轉吧整合行銷有限公司,廣告行銷公關業,未知,0035000,0045000,月薪,新北市三重區,重陽路三段192-3號8樓（辦公大樓）,部分遠端,學歷不拘,2年以上,,00006,2026-01-06,"★來訊投遞，請您主動提供★
1.我想求職這個工作的【原因】
2.簡述我過去有關此職務【經驗與成果】或無經驗具有強烈成為[[[行銷]]]的目標因素
3.我近期或長期追蹤的3個【KOL或品牌】名單

＋＋＋＋＋＋＋＋＋＋＋＋＋＋＋＋＋＋＋＋
※透明薪資及發展結構",https://www.104.com.tw/job/8n72i
行銷,行銷/行銷企劃/品牌行銷,三川企業管理顧問有限公司,工商顧問服務業,未知,0000000,0000000,面議,台北市中山區,南京東路二段100號7F-1,部分遠端,專科,3年以上,"市場行銷相關,數理統計相關,大眾傳播學相關",00006,2026-01-09,"公司目前擴大AI相關業務，希望對AI服務有興趣的[[[行銷]]]好手加入我們，如果您具備以下的能力與經驗，別猶豫快來和我們聊聊！
【工作內容】
1. 品牌[[[行銷]]]策略：協助制定品牌及市場[[[行銷]]]與廣告策略。
2. 廣告活動執行：根據公司目標和市場需求，制定廣告",https://www.104.com.tw/job/8nwvl
行銷,資深社群行銷專員／社群企劃（醫師個人品牌專案）,尊翌國際生醫整合行銷股份有限公司,廣告行銷公關業,未知,0040000,9999999,月薪,新北市新莊區,中港路307號3樓,部分遠端,專科,1年以上,,00005,2026-01-08,"程與影音團隊配合執行

【我們希望你具備】

• 2 年以上社群經營或[[[行銷]]]相關工作經驗

• 具備與客戶（醫師）溝通、引導需求的能力

• 能將抽象想法整理成清楚、有結構的簡報內容

• 熟悉社群平台操作與排程（Facebook /",https://www.104.com.tw/job/8rh1u
行銷,行銷企劃執行 (文案/策略類) Account Executive,上策行銷有限公司,廣告行銷公關業,未知,0035000,0070000,月薪,台北市中山區,民生東路二段174號6樓,部分遠端,大學,經歷不拘,"企業管理相關,市場行銷相關,大眾傳播學相關",00012,2026-01-09,"口碑[[[行銷]]]在[[[行銷]]]中以「策略」為主，「創意」為輔，在兩者交織之下，為客戶創造出驚人的[[[行銷]]]成效。

執案過程中，「細心」是最關鍵的人格特質，本職位會考驗大量的專案管理與交叉整合技巧，因為在操盤整體客戶品牌名聲與輿論時，不容許有任何失誤。

我們致力於維",https://www.104.com.tw/job/7kbs0
行銷,全球網紅行銷資深專員,普羅森科技股份有限公司,事務機器製造業,未知,0045000,0055000,月薪,新竹市,香山區牛埔路287號3樓,部分遠端,學歷不拘,1年以上,,00003,2026-01-05,"【主要職責｜Key Responsibilities】
1. 台灣及海外 KOL / Influencer [[[行銷]]]（約 70%）
• 規劃並執行 KOL 專案：選擇 KOL、洽談合作條件、撰寫 Brief。
• 管控專案時程（腳本 → 審稿 → 上",https://www.104.com.tw/job/8vg25
行銷,HE-數位行銷工讀生,宏恩醫院,醫院,未知,0000196,0000200,時薪,台中市南區,南平路33號,部分遠端,高中,經歷不拘,,00005,2026-01-08,"1.撰寫貼文、具備撰寫文案、說故事、採訪的能力 
2.Instagram、Facebook、threads經營，文案發想與推廣。
3.具備社群話題創造能力、提升醫療體系品牌正面形象及內容曝光度等[[[行銷]]]操作。
4.具拍攝影片、編輯圖文能力
5.其他主",https://www.104.com.tw/job/8t4us
行銷,行銷專員,蕎荳國際有限公司,綜合商品批發代理業,未知,0030000,0035000,月薪,高雄市三民區,高雄市三民區博愛一路287號7樓,部分遠端,專科,經歷不拘,,00003,2026-01-09,"工作內容
1. 百貨門市通路合作洽談等事宜
2. 電商平台商品上架，活動洽談規劃，商品訂單管理與客戶LINE諮詢服務。
3. 網站規劃、社群管理、文案撰寫。
4. KOL 合作洽談、[[[行銷]]]專案執行
5. 交辦事項。

經驗要求：
1.正面積極熱誠，",https://www.104.com.tw/job/7zi0m
行銷,璞悅美學 - 品牌行銷專員 Brand Marketing Specialist,波克萊生醫股份有限公司,其他醫療保健服務業,未知,0000000,0000000,面議,台北市中正區,忠孝東路二段88號13樓,部分遠端,大學,2年以上,"市場行銷相關,大眾傳播學相關",00006,2026-01-05,"工作內容】
各項療程的[[[行銷]]]策略規劃（定位、溝通主軸、內容方向）
醫師專業形象與內容輸出規劃
影音企劃與腳本發想（短影音 / 品牌內容） 
社群平台內容規劃與經營（FB / IG / YouTube / Threads）
品牌溝通、視覺與內容一致性管",https://www.104.com.tw/job/8x77r
行銷,行銷專員,彥宣智能科技股份有限公司,電腦系統整合服務業,未知,0000000,0000000,面議,台北市內湖區,洲子街12號3樓,部分遠端,大學,2年以上,,00003,2026-01-08,"。(貼文是寫中文，但客戶和研發中心很多是外國人，需用英文溝通)
2. 2年以上社群[[[行銷]]]經歷。
3. 具內容[[[行銷]]]與簡報能力。
4. 熟悉 GA4、GTM、Hotjar 工具，具廣告投放操作與成效優化實績。


【工作內容】
1. 社群平台經營管理",https://www.104.com.tw/job/8xaz4
行銷,產品行銷專員,綠藤生物科技股份有限公司,藥品／化妝品及清潔用品零售業,未知,0035000,9999999,月薪,台北市大安區,敦化南路二段77號10樓之1A,部分遠端,學歷不拘,經歷不拘,,00001,2026-01-06,"這個職位，是[[[行銷]]]團隊的實戰小尖兵——也是踏進品牌[[[行銷]]]世界最紮實的起點。
你將親手參與品牌被看見的每一步：從產品上市、KOL / 異業合作，到[[[行銷]]]活動企劃與執行。
我們希望你不只是完成任務，而是從細節一起開始學習，一個品牌如何思考、如何策劃、如何讓",https://www.104.com.tw/job/8vk3q
行銷,行銷業務專員,曙光行銷有限公司,廣告行銷公關業,未知,0042000,0070000,月薪,台北市內湖區,行善路383巷27號,部分遠端,學歷不拘,經歷不拘,,00003,2026-01-11,"1.產品[[[行銷]]]
2.售後追蹤
3.依照公司目標協助執行客戶宣傳推廣
4.高額獎金制度歡迎有責任心想挑戰高薪人士應徵",https://www.104.com.tw/job/8en9p
行銷,【自媒體】短影音行銷企劃,人人品牌行銷有限公司,廣告行銷公關業,未知,0035000,0045000,月薪,台中市西區,五權西四街29號1樓,部分遠端,專科,1年以上,,00003,2025-11-11,"歡迎加入我們，一起把「吃喝玩樂」變成工作日常！

⸻

【你會做什麼？】
協助拍攝與剪輯各式短影音
主動發想影片企劃及執行

⸻

【我們需要你擁有】
有汽車駕照＋駕駛技術穩
熟悉剪映（會基本剪輯即可）
是滑手機高手，瞭解網路時事
樂觀不怕鏡頭不怯場

不限性別、不限年齡，只要你夠熱血，歡迎來應徵！

⸻

【工作資訊】
	•	地點：遠端工作
	•	薪資：月薪 35K 起，資深有作品者面議
	•	週休二日＋見紅休、勞健保＋團保
	•	三節獎金、聚餐獎金、業績獎金、員工旅遊
⸻

一起做有趣的事，我們就出發了",https://www.104.com.tw/job/8c0mj
行銷,廣告優化師 Performance Marketing Specialist,東朱數位行銷有限公司,其他零售業,未知,0050000,0100000,月薪,台北市中正區,仁愛路二段2號2樓,部分遠端,高中,2年以上,,00009,2026-01-09,"【 關於我們 】

＜DDM 東朱數位行銷＞是一家專注於 群眾募資與品牌電商的新創行銷顧問公司，
累積操作的募資與電商專案總銷售已突破 5 億元。

我們同時自營選物品牌《SANGU 三谷家電》，
與合作廠商攜手從產品開發、專案規劃到行銷實操，全程一手包辦。

在 DDM，我們相信好的產品值得被更多人看見，而廣告投放，是將潛力轉化為成果的關鍵推進器，這裡不是把預算丟進平台就好，而是用策略、數據與洞察，打造真正有效益的成效。

如果你想加入一個可以實戰、能學習、看得到成果與成長的新創行銷團隊，
這裡，會是你發揮實力的舞台。

------------------------------

【 我們正在尋找 】

我們正在尋找一位熟悉平台機制、對數據敏銳、敢扛預算、勇於優化的廣告投放專員。

你會與 PM、設計、內容團隊密切合作，
負責廣告策略、投放操作、素材驗證、預算配置與數據分析，
用你的判斷與能力，將流量轉為真實銷售。

我們重視效率，不鼓勵加班文化。
每季皆有績效獎金，
這裡是肯衝、肯學、想變強的人可以真正放大價值的地方。

------------------------------

【工作內容】

• 負責 Meta、Google 等平台廣告策略規劃與投放操作
• 設計並執行素材測試（文案 / 視覺 / 受眾 / 投放策略）
• 持續優化點擊率（CTR）、轉換率（CVR）與 CPA
• 監控並分析數據，提供專業決策與優化建議
• 與 PM、設計、內容團隊密切合作，提升整體廣告成效
• 追蹤市場趨勢與平台變化，轉化為實戰策略

------------------------------

【 我們希望你 】

• 具備至少 1 年以上廣告投放或數位行銷相關經驗
• 具備獨立解決問題與主動推進任務的能力
• 熟悉 Meta 或 Google Ads 其中一項以上（熟兩者加分）
• 對數據敏銳，習慣用邏輯拆解問題並提出解方
• 抗壓性佳，能在有限時間內提出有效優化策略
• 喜歡挑戰成效、享受把數字變漂亮的成就感
• 具備募資或電商廣告經驗者優先錄取

------------------------------

【 如果你具備以下，更是加分！ 】

■ 具備嘖嘖 / FlyingV / 募資廣告操作經驗
■ 具備完整漏斗思維與受眾策略規劃能力
■ 熟悉 A/B Test 方法與實務測試邏輯
■ 具備 GA、成效追蹤或報表分析能力
■ 熟悉 Notion、Slack、Google Sheets 等協作工具

這份工作不適合只想「照流程按按鍵」的人。
我們尋找的是願意研究、勇於測試、敢扛責任的廣告人才。

如果你曾把 ROAS 拉起來、CPA 壓下去、
曾因轉換漂亮而感到熱血，那你會非常適合這裡。

歡迎加入我們，一起用實力把成績打出來。",https://www.104.com.tw/job/8x5jp
行銷,行銷專員,香印農技股份有限公司,農／畜／水產品零售業,未知,0000000,0000000,面議,台北市信義區,松高路1號10樓之1,部分遠端,專科,經歷不拘,"農業相關,農業工程相關,市場行銷相關",00007,2026-01-09,"【工作內容】
• 官網經營與維護更新管理、網路活動設計
• 平台商品上下架、訂單庫存貨管理及報關關稅處理
• 制定產品[[[行銷]]]策略、文案撰寫、創意發想
• 廠商及供應商關係維護、開發潛在客戶及拓展市場
• 良好溝通協調能力，英文書信能力",https://www.104.com.tw/job/8ttyz
行銷,資深網路行銷公關,美麗動力股份有限公司,藥品／化妝品及清潔用品零售業,未知,0040000,9999999,月薪,新北市汐止區,新台五路一段79號6樓之2(C棟),部分遠端,專科,3年以上,,0,2026-01-06,"職務內容
負責公司日本美容保養品代理相關[[[行銷]]]企劃，工作內容涵蓋短影音內容規劃與拍攝、社群經營、團購企劃、KOL 合作及[[[行銷]]]素材應用。
以品牌端與代理商角度規劃市場推廣，並將內容實際應用於廣告刊登與轉換優化，重視成效與銷售結果。

工作說明：
以代",https://www.104.com.tw/job/8wyky
行銷,行銷企劃,泉湧美術印刷企業有限公司,廣告行銷公關業,未知,0000200,0000300,時薪,台中市北屯區,大連路1段323號,完全遠端,專科,2年以上,,00004,2026-01-05,"1. 建立、分析、建立可開發潛在顧客資料，並發展客戶維繫方案。
2. 建立、推廣、經營與管理現有品牌、產品以及公司整體的形象，並負責相關文宣資料的規劃與製作。
3. 規劃及建立銷售工具（如：產品型錄、簡介、競爭比較、效益分析等）開發有效客戶
4.協助公司同事處理公司事宜
5.發揮經驗與創意，建議及擬定公司開發方案
6.透過網路、社群、E-mail或其他可行方式推廣公司業務",https://www.104.com.tw/job/8x7cp
